Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776191082,5000,,Aggregated,749.100000,749.100000,770,860,970,1000,1100,1300,4400,7000,30000,31000,31000,28877,28877,770,1037.482195957815,99.07419699993625,30967.127134999828,257.978806662742
1776191083,5000,,Aggregated,729.000000,729.000000,780,870,980,1000,1100,1300,4200,7200,31000,32000,32000,30175,30175,780,1055.8995399662258,99.07419699993625,31883.37664699975,256.72212096106045
1776191084,5000,,Aggregated,734.900000,734.900000,790,900,1000,1100,1200,1200,4200,7500,32000,33000,33000,31493,31493,790,1077.6910927370172,99.07419699993625,33485.98764400049,256.1975994665481
1776191086,5000,,Aggregated,758.600000,758.600000,800,920,1000,1100,1200,1200,4200,7600,33000,34000,35000,32826,32826,800,1100.0435284798652,99.07419699993625,34697.01886799885,255.01239870834095
1776191087,5000,,Aggregated,743.900000,743.900000,810,940,1000,1100,1200,1300,4200,19000,34000,36000,36000,34227,34227,810,1128.6021360143786,99.07419699993625,36085.87206999982,254.37005872556753
1776191088,5000,,Aggregated,833.900000,833.900000,820,960,1000,1100,1200,1300,4100,19000,35000,37000,37000,35629,35629,820,1147.8345222862304,99.07419699993625,37233.09416899974,253.77566027674087
1776191090,5000,,Aggregated,971.600000,971.600000,830,970,1100,1100,1200,1300,4000,19000,36000,38000,38000,36703,36703,830,1162.551563323577,99.07419699993625,38141.925451000134,252.8609650437294
1776191091,5000,,Aggregated,1100.200000,1100.200000,840,980,1100,1100,1200,1300,3900,20000,37000,40000,40000,38145,38145,840,1181.004223682454,99.07419699993625,39554.05021600018,252.2659588412636
1776191092,5000,,Aggregated,1074.100000,1074.100000,850,1000,1100,1100,1200,1300,3900,20000,39000,41000,41000,39610,39610,850,1200.742736821664,99.07419699993625,40822.3386589998,251.6622065135067
1776191093,5000,,Aggregated,1067.400000,1067.400000,860,1000,1100,1100,1200,1300,3900,21000,40000,42000,42000,40706,40706,860,1218.097668142148,99.07419699993625,41987.45936699925,251.90922714096203
1776191094,5000,,Aggregated,1082.800000,1082.800000,870,1000,1100,1100,1200,1400,3900,21000,41000,43000,43000,41906,41906,870,1231.626976157241,99.07419699993625,42714.748940999925,250.88560110724
1776191096,5000,,Aggregated,1055.800000,1055.800000,890,1000,1100,1200,1300,1400,3800,21000,42000,44000,44000,43425,43425,890,1254.3508209029437,99.07419699993625,44479.52841699953,250.27092688543465
1776191097,5000,,Aggregated,1060.300000,1060.300000,900,1100,1100,1200,1300,1400,3700,21000,42000,45000,45000,44417,44417,900,1264.4011206738255,99.07419699993625,45264.799718001086,250.2505572190828
1776191098,5000,,Aggregated,1059.800000,1059.800000,910,1100,1100,1200,1300,1500,3600,21000,43000,46000,47000,45845,45845,910,1282.9953860107819,99.07419699993625,46787.90311800003,248.91940233395135
1776191100,5000,,Aggregated,1030.900000,1030.900000,920,1100,1100,1200,1300,1600,3600,21000,44000,48000,48000,46652,46652,920,1301.2345409121863,99.07419699993625,48302.00300599972,250.66661665094745
1776191101,5000,,Aggregated,980.100000,980.100000,930,1100,1200,1200,1400,1700,3600,22000,46000,49000,49000,47906,47906,930,1333.7491513768275,99.07419699993625,49353.13129599854,250.6068550912203
1776191102,5000,,Aggregated,994.900000,994.900000,950,1100,1200,1200,1400,1700,3600,22000,48000,50000,50000,49035,49035,950,1344.6206007301803,99.07419699993625,50469.6189210008,249.8922198429693
1776191103,5000,,Aggregated,997.700000,997.700000,970,1100,1200,1200,1400,1600,3600,23000,49000,52000,52000,50677,50677,970,1372.194942525533,99.07419699993625,52083.725308000794,247.03788700988613
1776191105,5000,,Aggregated,967.100000,967.100000,980,1100,1200,1200,1400,1600,3600,23000,50000,53000,53000,51885,51885,980,1386.144117580405,99.07419699993625,53160.854850999385,245.05271273007614
1776191106,5000,,Aggregated,958.000000,958.000000,990,1100,1200,1300,1500,1600,3600,23000,51000,54000,55000,53149,53149,990,1408.4963919999338,99.07419699993625,54535.77115000007,243.8896874823609
1776191107,5000,,Aggregated,966.900000,966.900000,1000,1100,1200,1300,1500,1600,3400,23000,52000,55000,56000,54440,54440,1000,1415.573225674016,99.07419699993625,55500.254559001405,243.141623806025
1776191109,5000,,Aggregated,969.400000,969.400000,1000,1200,1200,1300,1500,1600,3400,23000,53000,57000,57000,56174,56174,1000,1437.0772967582582,99.07419699993625,57287.02699899986,243.33665040766192
1776191113,5000,,Aggregated,999.800000,999.800000,1000,1200,1200,1300,1500,1700,3400,23000,54000,58000,58000,56976,56976,1000,1450.388684217799,99.07419699993625,58276.71737299897,242.95224304970515
1776191114,5000,,Aggregated,837.400000,837.400000,1000,1200,1300,1300,1500,1700,3300,24000,55000,59000,59000,58326,58326,1000,1468.2041810752237,99.07419699993625,59016.65647200025,243.30722147927167
1776191116,5000,,Aggregated,713.800000,713.800000,1100,1200,1300,1400,1500,1700,3000,23000,56000,60000,60000,60067,60067,1100,1481.5151979123932,99.07419699993625,60317.43288500002,243.1146719496562
1776191117,5000,,Aggregated,681.900000,681.900000,1100,1200,1300,1400,1500,1700,3000,24000,58000,62000,62000,61399,61399,1100,1500.3400549041974,99.07419699993625,61974.23919100038,243.11923646964934
1776191118,5000,,Aggregated,739.300000,739.300000,1100,1200,1300,1400,1500,1700,2900,24000,58000,62000,63000,62717,62717,1100,1508.5045313889702,99.07419699993625,62979.313354000624,242.79627533204714
1776191120,5000,,Aggregated,704.900000,704.900000,1100,1200,1300,1400,1600,1700,2900,24000,60000,64000,64000,64016,64016,1100,1528.0175381315325,99.07419699993625,64403.552716001286,241.83105786053486
1776191121,5000,,Aggregated,714.100000,714.100000,1100,1200,1400,1400,1600,1700,2800,24000,61000,65000,66000,65447,65447,1100,1537.0216775305532,99.07419699993625,65730.61121900173,240.74593182269624
1776191122,5000,,Aggregated,749.600000,749.600000,1100,1200,1400,1400,1600,1700,2700,25000,62000,67000,67000,66823,66823,1100,1554.2558168294267,99.07419699993625,67131.3751990001,240.09623931879742
1776191123,5000,,Aggregated,801.700000,801.700000,1100,1300,1400,1400,1600,1700,2500,24000,62000,67000,68000,68290,68290,1100,1565.4054319168968,99.07419699993625,68207.47337100147,239.36791623956657
1776191125,5000,,Aggregated,1026.500000,1026.500000,1100,1300,1400,1400,1600,1700,2500,25000,64000,69000,70000,69679,69679,1100,1581.7833019287605,99.07419699993625,69509.69186399925,239.06776790711692
1776191126,5000,,Aggregated,1040.100000,1040.100000,1100,1300,1400,1500,1600,1700,2500,25000,65000,70000,71000,71026,71026,1100,1592.6823396236193,99.07419699993625,70808.13105699963,238.21547039112437
1776191127,5000,,Aggregated,1062.300000,1062.300000,1100,1300,1400,1500,1600,1700,2400,25000,67000,72000,72000,72592,72592,1100,1605.6684963698626,99.07419699993625,71566.66954200045,238.063546947322
1776191129,5000,,Aggregated,1051.600000,1051.600000,1100,1300,1400,1500,1600,1700,2400,25000,69000,73000,73000,73973,73973,1100,1624.8056469247579,99.07419699993625,73321.14438299868,238.10716072080353
1776191130,5000,,Aggregated,1059.700000,1059.700000,1100,1300,1400,1500,1600,1700,2300,25000,69000,74000,74000,74870,74870,1100,1631.1614749011355,99.07419699993625,74364.43908000001,237.77334045679177
1776191131,5000,,Aggregated,1113.800000,1113.800000,1100,1300,1400,1500,1600,1700,2300,25000,70000,75000,76000,76450,76450,1100,1643.8701908601176,99.07419699993625,75601.63797799942,236.77266187050358
1776191132,5000,,Aggregated,1074.800000,1074.800000,1200,1300,1400,1500,1600,1700,2200,26000,71000,77000,77000,77890,77890,1200,1662.2485476370898,99.07419699993625,76993.67857499965,236.50147644113494
1776191134,5000,,Aggregated,1037.500000,1037.500000,1200,1400,1500,1500,1600,1700,2000,25000,72000,78000,78000,79448,79448,1200,1669.9199590480578,99.07419699993625,78422.56877799991,235.85786929815728
1776191135,5000,,Aggregated,1081.100000,1081.100000,1200,1400,1500,1500,1600,1700,2000,26000,73000,80000,80000,80861,80861,1200,1686.897690906738,99.07419699993625,79570.6223749985,235.36899123186703
1776191136,5000,,Aggregated,1053.700000,1053.700000,1200,1400,1500,1500,1600,1700,2000,26000,74000,81000,81000,81902,81902,1200,1695.566742536246,99.07419699993625,80622.68189499991,235.23001880295965
1776191138,5000,,Aggregated,1106.600000,1106.600000,1200,1400,1500,1500,1600,1700,2000,25000,75000,81000,81000,83634,83634,1200,1701.607723120249,99.07419699993625,81377.71027499912,234.2302532462874
1776191139,5000,,Aggregated,1084.300000,1084.300000,1200,1400,1500,1500,1600,1700,1900,26000,77000,83000,83000,85074,85074,1200,1716.63667485672,99.07419699993625,83261.73468100023,234.2803089075393
1776191140,5000,,Aggregated,1104.200000,1104.200000,1200,1400,1500,1500,1600,1700,1900,26000,79000,85000,85000,86666,86666,1200,1737.570575377465,99.07419699993625,84823.42721599889,234.45246117277824
1776191142,5000,,Aggregated,1085.700000,1085.700000,1200,1400,1500,1500,1600,1700,1900,26000,78000,85000,85000,87729,87729,1200,1735.5610827659389,99.07419699993625,84823.42721599889,234.0684722269717
1776191143,5000,,Aggregated,1074.500000,1074.500000,1200,1400,1500,1500,1600,1700,2100,26000,80000,87000,87000,89378,89378,1200,1756.1495903522475,99.07419699993625,87163.03906900066,233.95020027299782
1776191145,5000,,Aggregated,1090.300000,1090.300000,1200,1400,1500,1600,1600,1800,2100,25000,81000,88000,89000,91257,91257,1200,1762.1158064307594,99.07419699993625,88576.35340900015,233.41715156097615
1776191149,5000,,Aggregated,895.000000,895.000000,1200,1400,1500,1600,1700,1700,2100,26000,82000,90000,90000,92687,92687,1200,1779.790731114351,99.07419699993625,89912.569514001,233.24968981626333
1776191150,5000,,Aggregated,772.100000,772.100000,1200,1400,1500,1600,1700,1800,2100,26000,83000,92000,92000,93669,93669,1200,1787.3821888902105,99.07419699993625,91570.37741600107,232.9635525093681
1776191151,5000,,Aggregated,720.600000,720.600000,1200,1400,1500,1600,1700,1800,2100,25000,84000,92000,92000,95507,95507,1200,1794.1815589347302,99.07419699993625,91887.04350599983,232.27783303841602
1776191153,5000,,Aggregated,751.700000,751.700000,1200,1400,1500,1600,1700,1800,2100,26000,86000,94000,94000,97153,97153,1200,1810.4812009708687,99.07419699993625,94372.03249199956,232.42458802095663
1776191154,5000,,Aggregated,777.800000,777.800000,1300,1500,1500,1600,1700,1800,2100,26000,87000,95000,95000,98406,98406,1300,1817.3194227132724,99.07419699993625,95344.79809100048,231.9676340873524
1776191155,5000,,Aggregated,784.400000,784.400000,1300,1500,1500,1600,1700,1800,2100,26000,88000,97000,97000,100047,100047,1300,1833.4331801066355,99.07419699993625,96839.01282000079,231.4680000399812
1776191157,5000,,Aggregated,784.800000,784.800000,1300,1500,1500,1600,1700,1800,2100,26000,90000,98000,98000,101683,101683,1300,1839.264333748418,99.07419699993625,97792.78447499928,230.5617556523706
1776191158,5000,,Aggregated,869.200000,869.200000,1300,1500,1600,1600,1700,1800,2000,26000,90000,98000,99000,102920,102920,1300,1846.573045374452,99.07419699993625,98863.8205089992,230.15764671589585
1776191159,5000,,Aggregated,1016.400000,1016.400000,1300,1500,1600,1600,1700,1800,2000,26000,92000,99000,100000,104610,104610,1300,1859.9669304791973,99.07419699993625,100476.68838000027,230.09153044642002
1776191161,5000,,Aggregated,1207.700000,1207.700000,1300,1500,1600,1600,1700,1800,2000,26000,93000,101000,101000,106359,106359,1300,1869.7616859721415,99.07419699993625,101382.5787099995,229.58186895326207
1776191162,5000,,Aggregated,1123.900000,1123.900000,1300,1500,1600,1600,1700,1800,2000,26000,94000,102000,103000,107444,107444,1300,1878.2454868197422,99.07419699993625,102921.94324800039,229.30217601727412
1776191163,5000,,Aggregated,1173.300000,1173.300000,1300,1500,1600,1600,1700,1800,2000,26000,95000,103000,104000,109195,109195,1300,1891.7320211650303,99.07419699993625,104407.89454300102,229.41238151930034
1776191165,5000,,Aggregated,1121.900000,1121.900000,1300,1500,1600,1600,1700,1800,2000,25000,96000,105000,106000,110940,110940,1300,1902.9490271252773,99.07419699993625,106006.95169499886,228.9373985938345
1776191167,5000,,Aggregated,1125.200000,1125.200000,1300,1500,1600,1600,1700,1800,2100,26000,98000,108000,108000,112716,112716,1300,1920.405438464313,99.07419699993625,107550.81828599941,228.84326093899713
1776191168,5000,,Aggregated,1143.800000,1143.800000,1300,1500,1600,1600,1700,1800,2000,25000,98000,108000,109000,114457,114457,1300,1926.528701036511,99.07419699993625,108687.31957000091,228.58365150231091
1776191169,5000,,Aggregated,1116.600000,1116.600000,1400,1500,1600,1600,1700,1800,2100,25000,99000,108000,110000,115587,115587,1400,1932.4788243501662,99.07419699993625,109837.1323600004,228.49359357021117
1776191170,5000,,Aggregated,1145.100000,1145.100000,1400,1500,1600,1600,1700,1800,2100,25000,100000,110000,111000,116807,116807,1400,1943.3586447309813,99.07419699993625,111065.9008190014,227.98363111799807
1776191172,5000,,Aggregated,1154.200000,1154.200000,1400,1500,1600,1700,1800,1800,2100,26000,102000,112000,112000,118575,118575,1400,1961.419556584281,99.07419699993625,112376.26664500021,228.09605734767024
1776191173,5000,,Aggregated,1127.600000,1127.600000,1400,1500,1600,1700,1800,1900,2100,25000,103000,112000,114000,119829,119829,1400,1969.6569890157882,99.07419699993625,113560.72279399996,228.3083644192975
1776191174,5000,,Aggregated,1168.200000,1168.200000,1400,1500,1600,1700,1800,1900,2100,25000,103000,114000,115000,121270,121270,1400,1976.338930672044,99.07419699993625,114863.73265000111,227.8772985899233
