Method,Name,Error,Occurrences
GET,//test-mixed?loops=150000&size=500,HTTPError('404 Client Error: Not Found for url: //test-mixed?loops=150000&size=500'),734
GET,//test-mixed?loops=150000&size=500,HTTPError('429 Client Error: Too Many Requests for url: //test-mixed?loops=150000&size=500'),286331
