Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//test-mixed?loops=150000&size=500,287065,287065,1800,2815.9996855121385,99.07419699993625,260684.342773,217.341089997039,977.7562662141493,977.7562662141493,1800,2000,2300,2400,2800,3000,3300,4000,216000,257000,261000
,Aggregated,287065,287065,1800,2815.9996855121385,99.07419699993625,260684.342773,217.341089997039,977.7562662141493,977.7562662141493,1800,2000,2300,2400,2800,3000,3300,4000,216000,257000,261000
